liking,trust,anger,sadness,fear
affection,trust,irritability,sad,horror
adoration,comfort,irritating,suffer,alarm
fondness,comfortable,irritated,suffering,alarming
fond,encourage,irritation,pain,shocking
liking,encouraging,aggravation,agony,shock
like,marvelous,agitation,anguish,fear
attraction,marvel,agitated,hurt,fearful
attracted,kudos,annoyed,sadness,terror
attract,thankful,annoyance,depression,panic
caring,perfect,annoying,depress,hysteria
care,perfection,grumpy,despair,mortification
tenderness,friendly,crosspatch,gloom,nervous
tender,friend,exasperation,unlucky,nervousness
compassion,friendliest ,frustration,glumness,anxious
sentimentality,ideal,rage,unhappy,anxiety
sentiment,flawless,raging,unhappiness,suspense
lust,,annoy,grief,uneasy
sexual,,anger,sorrow,uneasiness
desire,,outrage,woe,suspenseful
passion,,outraged,misery,apprehension
infatuation,,fury,melancholy,apprehend
infatuated,,wrath,disappointment,worry
infatuate,,hostility,disappointing,worrying
longing,,hostile,disappoint,distress
lovely,,ferocity,dismay,distressful
excellent,,bitter,displeasure,dread
good,,bitterness,shame,dreadful
loved,,hate,shaming,danger
adore,,hatred,shameful,dangerous
best,,scorn,guilt,fraud
perfect,,spite,regret,hell
magnificence,,vengeful,regretting,painful
magnificent,,dislike,regretful,scam
yummy,,disliking,remorse,stress
love,,disliked,remorseful,stressing
wonderful,,resent,neglect,stressful
cheerfulness,,resenting,alienation,
cheerful,,resentment,defeatism,
cheer,,disgusting,defeat,
amusement,,disgust,defeating,
amuse,,revulsion,dejection,
amused,,contempt,dejected,
amusing,,loathing,dejecting,
bliss,,loathe,embarrassing,
blissful,,envy,embarrassment,
gaiety,,jealous,homesickness,
glee,,jealousy,homesick,
woohoo,,torment,humiliating,
jolliness,,tormenting,humiliating,
jolly,,idiot,insecurity,
joviality,,suck,insecure,
joy,,sucker,insult,
delight,,loser,insulting,
enjoyment,,dumbass,isolation,
glad,,kills,isolating,
gladness,,unprofessional,isolate,
happiness,,disaster,loneliness,
happy,,cancer,lonely,
jubilation,,cheated,rejection,
elation,,crappy,reject,
elating,,,rejecting,
satisfaction,,,sympathy,
satisfying,,,pity,
satisfied,,,loser,
ecstasy,,,unhealthy,
euphoria,,,ruin,
zest,,,ruining,
enthusiasm,,,sick,
enthusiastic,,,sobs,
zeal,,,sad,
excitement,,,cry,
exciting,,,remorse,
thrill,,,regret,
thrilling,,,devastating ,
exhilaration,,,,
exhilarating,,,,
content,,,,
contentment,,,,
pleasure,,,,
pride,,,,
triumph,,,,
optimism,,,,
optimistic,,,,
eager,,,,
eagerness,,,,
hope,,,,
enthrallment,,,,
rapture,,,,
relief,,,,
beautiful,,,,
enjoy,,,,
super,,,,
fantastic,,,,
superb,,,,
free,,,,
brilliant,,,,
success,,,,
appreciate,,,,
delightful,,,,
divine,,,,
gracious,,,,
winning,,,,
lmfao,,,,
win,,,,
surprise,,,,
surprising,,,,
amazement,,,,
amazed,,,,
amazing,,,,
astonishment,,,,
astonishing,,,,
astonished,,,,
astonish,,,,
awesome,,,,
great,,,,
outstanding,,,,
fascinating,,,,
fascinated,,,,
remarkable ,,,,
inspirational,,,,
inspiration,,,,
amaze,,,,
